Course_ID,Average_Rating,Average_Grade,Pass_Count,Fail_Count
CSAI 100,5,81,211.0,59.0
CSAI 101,1,77,224.0,46.0
CSAI 102,2,91,228.0,42.0
CSAI 151,4,87,228.0,42.0
CSAI 201,1,87,207.0,63.0
CSAI 202,1,80,225.0,45.0
CSAI 203,1,87,202.0,68.0
CSAI 252,1,79,223.0,47.0
MATH 103,4,82,221.0,49.0
MATH 104,5,90,238.0,32.0
MATH 105,1,74,221.0,49.0
MATH 308,4,71,207.0,63.0
PHYS 103,1,73,45,15
PHYS 104,1,72,55,5
SW 151,5,80,47.0,13.0
CSAI 205,2,76,208.0,62.0
DSAI 103,5,65,123.0,61.0
DSAI 104,4,81,119.0,65.0
DSAI 203,4,69,134.0,50.0
IT 101,5,91,19.0,3.0
IT 102,5,85,19.0,3.0
IT 205,3,77,18.0,4.0
IT 103,4,88,16.0,6.0
